Page path and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
/,19551,3386,5.7740696987595985,80.7968103957472,31353,0,0
/blog/vimcolorscheme,3985,3459,1.1520670714079213,11.04278693263949,15859,0,0
/training-courses,2538,1093,2.3220494053064957,35.757548032936874,6060,0,0
/posters,2493,1462,1.7051983584131327,18.52530779753762,10980,0,0
/blog/singlevmk8s,2124,1489,1.4264607118871726,46.50503693754197,7874,0,0
/blog/install-python-and-ansible,1123,975,1.1517948717948718,18.382564102564103,4483,0,0
/about,889,614,1.4478827361563518,15.941368078175897,2560,0,0
/overview-sip,771,398,1.9371859296482412,31.20854271356784,2224,0,0
/overview-5g,692,365,1.895890410958904,27.07123287671233,1895,0,0
/blog/ubuntu-1804-preseed-installation,675,454,1.486784140969163,31.1784140969163,2458,0,0
/store/online-live,624,1,624,133,787,0,0
/kubernetes,586,298,1.9664429530201342,15.312080536912752,1330,0,0
/cloud-devops-tutorials,573,440,1.3022727272727272,12.670454545454545,1882,0,0
/telecom-courses,541,308,1.7564935064935066,16.75,1313,0,0
/overview-kubernetes-ckad,533,289,1.8442906574394464,23.80622837370242,1375,0,0
/programming-training,526,254,2.0708661417322833,16.476377952755904,1171,0,0
/events-online-training,468,186,2.5161290322580645,26.376344086021504,956,0,0
/overview-terraform,460,237,1.9409282700421941,24.50210970464135,1144,0,0
/blog/diagnosing-a-slow-network,440,362,1.2154696132596685,31.209944751381215,1746,0,0
/overview-cka-training,431,230,1.873913043478261,23.104347826086958,1033,0,0
/cloud-training,379,209,1.813397129186603,15.344497607655502,881,0,0
/ansible-training,367,151,2.4304635761589406,19.105960264900663,802,0,0
/ai-training,358,141,2.5390070921985815,23.581560283687942,795,0,0
/on-demand-courses,346,166,2.0843373493975905,52.403614457831324,883,0,0
/contact,331,281,1.1779359430604983,10.587188612099645,1081,149,0
/blog,329,117,2.8119658119658117,61.35897435897436,736,0,0
/overview-ansible,324,182,1.7802197802197801,21.642857142857142,853,0,0
/overview-volte,299,200,1.495,23.915,1020,0,0
/blog/passing-the-ckad,289,205,1.4097560975609755,34.57560975609756,1113,0,0
/overview-python-basics-training,282,180,1.5666666666666667,18.227777777777778,706,0,0
/overview-opensource-ai,277,103,2.6893203883495147,48.29126213592233,666,0,0
/store,276,15,18.4,27.466666666666665,344,0,0
/blog/ansible-eos-banner-tutorial,247,198,1.2474747474747474,29.146464646464647,993,0,0
/suse-linux-rancher-k8s,236,117,2.017094017094017,18.726495726495727,573,0,0
/overview-deploying5g,231,137,1.686131386861314,22.868613138686133,639,0,0
/blog/unlocking-your-vim-screen,213,192,1.109375,5.5,851,0,0
/overview-automation-python-ansible-training,204,107,1.9065420560747663,20.037383177570092,475,0,0
/careers,199,146,1.3630136986301369,19.54794520547945,541,0,0
/overview-cks,198,82,2.4146341463414633,26.98780487804878,464,0,0
/blog/restore-backed-up-files-using-ansible,178,162,1.0987654320987654,26.493827160493826,717,0,0
/store/p/sip-self-paced,168,101,1.6633663366336633,21.712871287128714,453,0,0
/overview-api-python-training,167,103,1.6213592233009708,13.281553398058252,422,0,0
/blog/installing-windows-subsystem-for-linux-2-wsl2,165,130,1.2692307692307692,22.784615384615385,637,0,0
/overview-python-network-automation,164,105,1.561904761904762,14.295238095238096,415,0,0
/store/p/ipsec-self-paced-course,162,111,1.4594594594594594,6.171171171171171,519,0,0
/store/p/5g-essentials-self-paced-course,154,85,1.811764705882353,23.611764705882354,436,0,0
/overviewsdwantraining,151,100,1.51,27.7,429,0,0
/overview-golang-training,146,94,1.553191489361702,23.585106382978722,408,0,0
/blog/ansible-and-infoblox,140,105,1.3333333333333333,26.00952380952381,546,0,0
/blog/8-steps-to-k8s-cluster,128,73,1.7534246575342465,36.19178082191781,408,0,0
/blog/throttling-ansibles-localaction-module,128,111,1.1531531531531531,17.243243243243242,501,0,0
/cart,127,105,1.2095238095238094,5.076190476190476,402,0,0
/blog/securingdnsmasq,121,103,1.174757281553398,17.58252427184466,457,0,0
/devops,119,52,2.2884615384615383,23.346153846153847,288,0,0
/blog/launch-cloud-init-configured-vms,116,98,1.183673469387755,24.43877551020408,446,0,0
/blog/error-invalid-value-apiall-on-kube-apiserver,101,80,1.2625,17.6,388,0,0
/overview-rancher-training,98,60,1.6333333333333333,31.883333333333333,244,0,0
/store/p/go-practice-labs-3678w,98,66,1.4848484848484849,5.090909090909091,323,0,0
/testimonials,98,51,1.9215686274509804,55.05882352941177,287,0,0
/free-course-trials,94,67,1.4029850746268657,31.104477611940297,232,0,0
/overview-suse-k8s,92,58,1.5862068965517242,11.39655172413793,226,0,0
/overview-jenkins-training,91,54,1.6851851851851851,14.74074074074074,196,0,0
/overview-sdn-training,90,62,1.4516129032258065,26.048387096774192,290,0,0
/overview-microservices-training,88,64,1.375,17.453125,215,0,0
/overviewpython-training-data-sciences,82,40,2.05,35.875,195,0,0
/store/p/suse-rancher-aug2023,78,24,3.25,16.833333333333332,176,0,0
/overview-django,77,22,3.5,53.54545454545455,131,0,0
/blog/adding-spell-checking-as-a-github-action,75,49,1.530612244897959,25.73469387755102,261,0,0
/overview-gitlab-training,74,53,1.3962264150943395,12.018867924528301,169,0,0
/overview-suse-neuvector,73,39,1.8717948717948718,46.61538461538461,212,0,0
/overview-ipsec-training,70,59,1.1864406779661016,15.610169491525424,245,0,0
/instructor-application,69,48,1.4375,66.54166666666667,190,0,0
/overview-natural-language-ai,69,22,3.1363636363636362,48.63636363636363,144,0,0
/blog/-28-bytes-later,67,58,1.1551724137931034,11.448275862068966,259,0,0
/blog/creating-flask-server,66,19,3.473684210526316,46.78947368421053,146,0,0
/stu,66,54,1.2222222222222223,29.074074074074073,184,0,0
/blog/converting-html-to-markdown,61,55,1.1090909090909091,11.745454545454546,238,0,0
/sales-application,61,29,2.103448275862069,186.6206896551724,239,0,0
/store/p/kubernetes-bootcamp-self-paced,61,41,1.4878048780487805,9.073170731707316,162,0,0
/overview-python-ai,60,37,1.6216216216216217,22.89189189189189,139,0,0
/store/p/api-design-with-python-dec2023,60,6,10,81,81,0,0
/overview-linux-training,59,43,1.372093023255814,12.651162790697674,143,0,0
/home,58,3,19.333333333333332,112.33333333333333,84,0,0
/home-copy,58,2,29,1582.5,115,0,0
/overview-crush-the-ckad,58,27,2.1481481481481484,39.074074074074076,125,0,0
/zach,57,48,1.1875,11.145833333333334,177,0,0
/blog/ansible-vault-hello-world,56,50,1.12,21.92,222,0,0
/overviewansible-for-dbas,56,28,2,13.785714285714286,124,0,0
/store/p/kubernetes-online-live-class-oct2023,56,4,14,4,80,0,0
/store/p/kubernetes-online-live-class-july2023,55,12,4.583333333333333,3.4166666666666665,91,0,0
/store/p/os-generative-ai-9-23,55,13,4.230769230769231,10.846153846153847,102,0,0
/store/p/ansible-essentials-self-paced,54,38,1.4210526315789473,8.473684210526315,155,0,0
/store/p/cka-online-live-class-dec2023,54,8,6.75,22.625,76,0,0
/store/p/os-generative-ai-feb2024,54,4,13.5,21.25,59,0,0
/overview-ansible-202,53,22,2.409090909090909,13.681818181818182,113,0,0
/overview-openstack-training,52,41,1.2682926829268293,30.073170731707318,177,0,0
/store/p/cka-online-live-class-june2023,51,7,7.285714285714286,8.571428571428571,66,0,0
/store/p/volte-and-the-ims-self-paced-course,51,31,1.6451612903225807,13.387096774193548,140,0,0
/overview-ansible-203,50,20,2.5,28.85,100,0,0
/overview-mastering-ansible-training,50,36,1.3888888888888888,22.333333333333332,113,0,0
/overview-tcp-ip,50,26,1.9230769230769231,44.65384615384615,102,0,0
/store/p/suse-k8s-aug2023,50,24,2.0833333333333335,6.166666666666667,129,0,0
/blog/managing-github-issue-labels-across-organizations-and-repositories,49,40,1.225,22.35,195,0,0
/overview-ansible-302,48,18,2.6666666666666665,34.94444444444444,103,0,0
/store/p/avaya-aura-self-paced-course,48,33,1.4545454545454546,8.181818181818182,180,0,0
/store/p/cks-aug2023,48,15,3.2,2.6666666666666665,104,0,0
/store/p/golang-oct2023,48,2,24,2.5,53,0,0
/tim,47,27,1.7407407407407407,27.22222222222222,134,0,0
/blog/introduction-to-kubernetes,46,34,1.3529411764705883,7.4411764705882355,112,0,0
/blog/python-and-the-magic-wormhole-project,46,41,1.1219512195121952,11.634146341463415,174,0,0
/store/p/api-design-with-python-aug2023,45,8,5.625,5.375,81,0,0
/store/p/api-practice-labs,45,37,1.2162162162162162,3.6486486486486487,147,0,0
/store/p/kubernetes-ckad-online-live-class-sept2023,45,3,15,26.333333333333332,67,0,0
/store/p/napya-aug,45,5,9,3.2,69,0,0
/store/p/python-basics-self-paced,45,28,1.6071428571428572,5.785714285714286,121,0,0
/overview-ansible-102,44,27,1.6296296296296295,13.74074074074074,101,0,0
/overview-k8s,44,42,1.0476190476190477,2.0714285714285716,180,0,0
/overview-prompt-engineering,44,22,2,47.72727272727273,86,0,0
/store/p/suse-k8s-may2023,44,19,2.3157894736842106,15.842105263157896,101,0,0
/store/self-paced,44,8,5.5,45.25,72,0,0
/store-sip,43,38,1.131578947368421,6.394736842105263,140,0,0
/store/p/suse-k8s-nov2023,43,18,2.388888888888889,7.722222222222222,94,0,0
/store/p/terraform/mar2024,43,2,21.5,0.5,44,0,0
/training-courses-2,41,4,10.25,475.75,80,0,0
/store/p/sdnnfv-self-paced,40,26,1.5384615384615385,14.384615384615385,108,0,0
/blog/fastapi,39,24,1.625,35.458333333333336,105,0,0
/overview-5g-overview,39,15,2.6,37.4,99,0,0
/store/p/python-basics-online-live-july2023,39,15,2.6,3.8,82,0,0
/store/p/sip-online-live-july2023,39,10,3.9,6.9,71,0,0
/store/p/suse-k8s-mar2023,39,16,2.4375,25.5625,82,0,0
/blog/ansible-templates,38,36,1.0555555555555556,10.416666666666666,134,0,0
/store/p/5g-essentials-online-live-class-sept2021,38,29,1.3103448275862069,6.827586206896552,137,0,0
/store/p/cka-online-live-class-april2023,38,7,5.428571428571429,14.571428571428571,64,0,0
/store/p/terraform/jan2024,38,3,12.666666666666666,6,44,0,0
/courses-accordian,37,3,12.333333333333334,227.66666666666666,68,0,0
/store-python-basics-training,37,11,3.3636363636363638,85.36363636363636,67,0,0
/store/p/cka-online-live-class-oct2023-6r888,37,9,4.111111111111111,2.5555555555555554,64,0,0
/store/p/suse-rancher-may2023,37,19,1.9473684210526316,8.368421052631579,83,0,0
/store-certified-kubernetes-training,36,22,1.6363636363636365,20.181818181818183,79,0,0
/store/p/suse-rancher-nov2023,36,15,2.4,10.2,90,0,0
/store/p/crush-the-ckad,35,21,1.6666666666666667,16.142857142857142,75,0,0
/classroom-live,33,28,1.1785714285714286,22.714285714285715,90,0,0
/rob,33,30,1.1,14,109,0,0
/store/p/os-generative-ai-may2024,33,2,16.5,0.5,35,0,0
/store/p/python-basics-online-live-dec2023-yp2xk,32,4,8,5.75,41,0,0
/overview-zerocodechatbots-chatgpt,31,19,1.631578947368421,29.842105263157894,61,0,0
/store/p/golang-august2023,31,1,31,0,36,0,0
/store/p/terraform/sept2023,31,6,5.166666666666667,9.5,49,0,0
/store/p/api-design-with-python-oct2023,30,3,10,4.333333333333333,40,0,0
/store/p/cka-online-live-class-aug2023,30,14,2.142857142857143,3.142857142857143,57,0,0
/store/p/jenkins-training-dec2023,30,1,30,0,33,0,0
/store/p/napya-dec2023,30,5,6,3.4,38,0,0
/store/p/network-automation-python-ansible-practice-labs,30,29,1.0344827586206897,3.586206896551724,130,0,0
/store/p/pythonnetworautomation-may2023,30,3,10,7,41,0,0
/store/p/sip-online-live-oct2023,30,8,3.75,15.875,52,0,0
/blog/back-up-your-organizations-github,29,22,1.3181818181818181,15.363636363636363,108,0,0
/hutch,29,13,2.230769230769231,37.15384615384615,60,0,0
/overview-zerocode-ai,29,17,1.7058823529411764,51.294117647058826,65,0,0
/store/p/cka-online-live-class-feb2024,29,1,29,5,36,0,0
/store/p/golang-march2024,29,2,14.5,0,31,0,0
/store/p/napya-jan2024,29,1,29,0,29,0,0
/overview-docker101,28,17,1.6470588235294117,22.941176470588236,63,0,0
/overview-zerocodechatbots,28,15,1.8666666666666667,7.133333333333334,55,0,0
/blog/python-apis-part2,27,27,1,23.77777777777778,112,0,0
/store/p/ansible-essentials-online-feb2024,27,1,27,0,27,0,0
/store/p/ansible-essentials-online-may2023,27,4,6.75,2,34,0,0
/store/p/ansible-essentials-online-nov2023,27,5,5.4,0.8,38,0,0
/store/p/tf-selfpaced,27,12,2.25,9.083333333333334,62,0,0
/aws-training,26,19,1.368421052631579,6.578947368421052,59,0,0
/blog/installing-ansible,26,13,2,24.76923076923077,65,0,0
/overview-packer,26,19,1.368421052631579,14.105263157894736,55,0,0
/store/p/cka-online-live-class-feb-2023,26,6,4.333333333333333,14.333333333333334,42,0,0
/store/p/os-generative-ai-11-6-23,26,8,3.25,18.5,35,0,0
/store/p/pe-ai-10-12-23,26,1,26,2,30,0,0
/store/p/python-networking-aug2023,26,3,8.666666666666666,0.3333333333333333,31,0,0
/terms-and-conditions,26,8,3.25,100.75,82,0,0
/overview-awsdevops,25,7,3.5714285714285716,3.5714285714285716,34,0,0
/store-cks,25,5,5,53.4,45,0,0
/store/p/api-design-with-python-feb2023,25,2,12.5,3,28,0,0
/store/p/napya-oct2023,25,7,3.5714285714285716,2.857142857142857,49,0,0
/blog/ansible-is-for-everyone,24,13,1.8461538461538463,17.23076923076923,62,0,0
/chad,24,20,1.2,7.35,65,0,0
/overview-opensource-ai-dell,24,11,2.1818181818181817,26,58,0,0
/store/p/ansible-essentials-online-sept2023-ynbsl,24,5,4.8,5.8,36,0,0
/store/p/cks-august2023,24,1,24,0,29,0,0
/store/p/golang-march2023,24,2,12,0.5,30,0,0
/store/p/golang-nov2023,24,1,24,2,32,0,0
/store/p/jenkins-sept2023,24,3,8,2.3333333333333335,29,0,0
/store/p/k8s-ckad-practice-labs,24,22,1.0909090909090908,4.454545454545454,98,0,0
/store/p/terraform/june2023,24,11,2.1818181818181817,5.909090909090909,57,0,0
/store/p/terraform/march2023,24,4,6,6.75,33,0,0
/blog/pythonapi-part1,23,22,1.0454545454545454,18.09090909090909,87,0,0
/overview-ansible-ai,23,17,1.3529411764705883,22.235294117647058,50,0,0
/store/p/api-design-with-python-april2023,23,3,7.666666666666667,4.666666666666667,31,0,0
/store/p/cks-feb2024,23,1,23,0,23,0,0
/store/p/jenkins-practice-labs,23,23,1,3,93,0,0
/store/p/kubernetes-online-live-class-april2023,23,4,5.75,3.75,31,0,0
/store/p/sip-online-live-feb2024,23,5,4.6,11.2,28,0,0
/store/p/suse-rancher-mar2023,23,13,1.7692307692307692,6.384615384615385,52,0,0
/overview-sles-training,22,20,1.1,7.5,84,0,0
/store-5g,22,16,1.375,14.5625,47,0,0
/store/p/5g-essentials-online-live-class-nov2023,22,8,2.75,3.375,33,0,0
/store/p/python-basics-online-live-class-jan-2023,22,2,11,1.5,34,0,0
/blog/go-programming-print,21,13,1.6153846153846154,22.692307692307693,56,0,0
/overview-avaya-training,21,17,1.2352941176470589,3.6470588235294117,91,0,0
/store-network-automation-training,21,12,1.75,10.25,56,0,0
/store/p/5g-essentials-online-live-class-aug2023,21,5,4.2,6.8,33,0,0
/store/p/pe-ai-8-24-23,21,1,21,0,25,0,0
/store/p/python-basics-online-live-class-april2023,21,4,5.25,3.25,30,0,0
/store/p/terraform/aug-2023,21,7,3,5.571428571428571,41,0,0
/blog/ansible-switch-configuration-archive-tutorial,20,17,1.1764705882352942,32.64705882352941,53,0,0
/blog/jinja-templates,20,13,1.5384615384615385,10.615384615384615,61,0,0
/overview-os,20,18,1.1111111111111112,4.666666666666667,85,0,0
/store/p/pe-ai-jan2024,20,1,20,0,20,0,0
/store/p/pyai-jan2024,20,1,20,6,21,0,0
/store/p/pythonnetworautomation-mar2023,20,2,10,0.5,25,0,0
/store/p/pythonnetworautomation-nov2023,20,3,6.666666666666667,3.3333333333333335,28,0,0
/store/p/terraform/may-2023,20,5,4,2.2,33,0,0
/blog/api-requests-with-python,19,6,3.1666666666666665,12.666666666666666,33,0,0
/overview-circleci-training,19,18,1.0555555555555556,16.88888888888889,55,0,0
/overview-github-training,19,15,1.2666666666666666,25.133333333333333,34,0,0
/overview-zerocodechatbots-bard,19,4,4.75,66.75,44,0,0
/store/p/ansible-essentials-online-june2023-f8wt8,19,2,9.5,1,23,0,0
/store/p/kubernetes-online-live-class-april2024,19,1,19,0,19,0,0
/store/p/python-basics-online-live-june2024,19,3,6.333333333333333,1.6666666666666667,20,0,0
/store/p/python-practice-labs,19,18,1.0555555555555556,2.6666666666666665,65,0,0
/store/p/self-paced-terraform-iac-course,19,9,2.111111111111111,28.77777777777778,47,0,0
/store/p/suse-k8s-jan2024,19,2,9.5,0.5,20,0,0
/alta3-research-course-portfolio,18,3,6,190,34,0,0
/overview-ai-chat-bard,18,8,2.25,69,33,0,0
/posters/,18,11,1.6363636363636365,16.181818181818183,75,0,0
/store-django,18,2,9,61,25,0,0
/store/p/ansible-essentials-online-feb2023,18,3,6,17.666666666666668,21,0,0
/store/p/cks-december2023,18,1,18,0,21,0,0
/store/p/cks-june,18,4,4.5,2.5,22,0,0
/store/p/golang-june23,18,1,18,0,20,0,0
/store/p/jenkins-training-mar2023,18,2,9,0.5,21,0,0
/store/p/kubernetes-online-live-class-jan2024,18,1,18,2,19,0,0
/store/p/pyai-april2024,18,1,18,7,19,0,0
/store/p/python-network-automation-self-paced,18,8,2.25,14.375,36,0,0
/store/p/pythonnetworautomation-june2024,18,1,18,0,18,0,0
/blog/moving-active-k8s-cluster-on-qemu-vm,17,16,1.0625,16.8125,60,0,0
/blog/vim-introduction-getting-started-with-vim,17,10,1.7,4.4,51,0,0
/checkout,17,16,1.0625,65.875,53,0,0
/store/p/api-design-with-python-june2023,17,2,8.5,1,24,0,0
/store/p/api-design-with-python-march2024,17,2,8.5,0.5,19,0,0
/store/p/microservices-online-live-class-mar2023,17,5,3.4,3.6,23,0,0
/store/p/microservices-online-live-sept2023,17,1,17,0,24,0,0
/store/p/python-networking-march2023,17,3,5.666666666666667,0.3333333333333333,22,0,0
/store/p/sip-online-live-may2023,17,5,3.4,5.6,28,0,0
/blog/ansible-basics-tutorial,16,11,1.4545454545454546,18.545454545454547,60,0,0
/blog/gos-approach-to-arrays-and-slices,16,5,3.2,11,33,0,0
/overview-ansible-training-dell,16,1,16,371,21,0,0
/store/p/golang-june-2023,16,2,8,0.5,21,0,0
/store/p/jenkins-june2024,16,1,16,0,16,0,0
/store/p/microservices-online-live-dec2023,16,4,4,15.5,27,0,0
/store/p/pythonnetworautomation-july2023,16,5,3.2,7.6,25,0,0
/store/p/terraform/june2024,16,1,16,0,16,0,0
/overview-awsarchitect,15,7,2.142857142857143,9.571428571428571,29,0,0
/overview-java-ai,15,8,1.875,43.75,32,0,0
/store-api-python-training,15,6,2.5,2.6666666666666665,27,0,0
/store/p/ansible-essentials-online-aug2023,15,1,15,0,19,0,0
/store/p/cka-selfpaced,15,9,1.6666666666666667,7,35,0,0
/store/p/kubernetes-ckad-online-class-dec2023,15,1,15,0,18,0,0
/store/p/pyai-july2024,15,1,15,0,15,0,0
/store/p/python-basics-online-live-oct2023,15,3,5,3,22,0,0
/blog/crushckad,14,13,1.0769230769230769,3.4615384615384617,48,0,0
/overview-docker-1,14,7,2,67.71428571428571,24,0,0
/store-microservices-training,14,5,2.8,14.2,28,0,0
/store/p/kubernetes-online-live-class-jan-2023,14,2,7,10,18,0,0
/store/p/os-generative-ai-9-19-23,14,2,7,11,22,0,0
/store/p/python203-ds,14,1,14,0,14,0,0
/overview-zerocodechatbots-watson,13,7,1.8571428571428572,25.857142857142858,24,0,0
/search,13,4,3.25,30.25,44,0,0
/store/p/cks-nov2023,13,1,13,0,14,0,0
/store/p/jenkins-dec2023,13,2,6.5,8.5,16,0,0
/store/p/jenkins-june23,13,1,13,0,13,0,0
/store/p/nlp-ai,13,2,6.5,5.5,16,0,0
/store/p/python-basics-online-live-march2024,13,1,13,0,14,0,0
/store/p/zerocode-ai-googlebard,13,1,13,0,18,0,0
/docker-training,12,6,2,12.833333333333334,24,0,0
/overview-ceph,12,10,1.2,10.7,49,0,0
/overview-comptia-network,12,10,1.2,4.1,26,0,0
/overview-terraform-special,12,8,1.5,4.5,28,0,0
/store-kubernetes-ckad,12,12,1,7.75,32,0,0
/store-terraform,12,3,4,12.333333333333334,19,0,0
/store/p/django,12,1,12,0,15,0,0
/store/p/django-8-2023,12,1,12,0,14,0,0
/store/p/jenkins-march2024,12,1,12,0,12,0,0
/store/p/python203-ds-7-2023,12,2,6,0,15,0,0
/store/p/python203-ds-oct2023,12,1,12,0,16,0,0
/blog/00fg5lqocxkpikimilx872gnbtt2yc,11,10,1.1,3.4,39,0,0
/blog/how-to-install-terraform-infrastructure-as-code-tool,11,4,2.75,21,20,0,0
/blog/python-tutorial-using-python-to-interact-with-excel,11,8,1.375,3.375,30,0,0
/jason,11,10,1.1,9.5,26,0,0
/overview-ansible-1,11,1,11,1041,20,0,0
/overview-golang-ai,11,7,1.5714285714285714,34.714285714285715,19,0,0
/paul,11,7,1.5714285714285714,29.428571428571427,27,0,0
/pure-storage-terraform,11,8,1.375,5.25,38,0,0
/store-neuvector,11,5,2.2,7.4,19,0,0
/store-python-automation-training,11,6,1.8333333333333333,4.5,25,0,0
/store-python-data-sciences-training,11,2,5.5,22.5,21,0,0
/store/p/ansible-practice-labs,11,11,1,3,41,0,0
/store/p/pe-ai-april24,11,1,11,0,11,0,0
/store/p/suse-k8s-april2024,11,3,3.6666666666666665,2.3333333333333335,16,0,0
/store/p/suse-rancher-jan2024,11,2,5.5,0.5,12,0,0
/store/p/terraform/nov2023,11,2,5.5,3,14,0,0
/certification-pyna-202,10,2,5,27,12,0,0
/home-1,10,1,10,44,16,0,0
/overview-linux-4-dev,10,2,5,5.5,32,0,0
/store-2,10,1,10,13,13,0,0
/store-ansible-training,10,5,2,5.8,19,0,0
/store/p/cks,10,2,5,59,15,0,0
/store/p/cks-4-2023,10,2,5,0.5,11,0,0
/store/p/napya-may2024,10,1,10,0,10,0,0
/store/p/pythonds-oct2023,10,2,5,0.5,15,0,0
/store/p/pythonnetworautomation-sept2022,10,2,5,1,17,0,0
/alta3-logo,9,5,1.8,13,22,0,0
/blog/getting-keyed-up,9,6,1.5,22.666666666666668,25,0,0
/blog/magic-the-gathering-api,9,7,1.2857142857142858,4.857142857142857,21,0,0
/certification-5g,9,1,9,104,13,0,0
/store/p/api-design-with-python-may2024,9,1,9,0,9,0,0
/store/p/cka-practice-labs,9,7,1.2857142857142858,1.8571428571428572,31,0,0
/store/p/developing-on-aws-online-live-class-feb28,9,2,4.5,0.5,13,0,0
/store/p/django-sept2023,9,1,9,0,11,0,0
/store/p/kubernetes-bootcamp-online-live-class-nov2021,9,9,1,2.3333333333333335,36,0,0
/store/p/napya-june2023,9,1,9,0,10,0,0
/store/p/pythonds-july2023,9,3,3,3,16,0,0
/store/p/pythonnetworautomation-march2024,9,1,9,0,9,0,0
/store/p/terraform/april2024,9,1,9,0,9,0,0
/DEVOPS,8,1,8,24,23,0,0
/blog/ansible-template-tutorial,8,7,1.1428571428571428,14.857142857142858,20,0,0
/blog/python-and-apis-nasas-open-apis,8,8,1,2.75,36,0,0
/certification-python-201,8,3,2.6666666666666665,44,15,0,0
/overview-5g-courses,8,6,1.3333333333333333,6.666666666666667,24,0,0
/overview-devsecops,8,2,4,311.5,16,0,0
/sean,8,8,1,5.5,23,0,0
/store-nlp-ai,8,3,2.6666666666666665,12.333333333333334,11,0,0
/store/p/api-design-with-python-dec2022,8,1,8,0,13,0,0
/store/p/cka-online-live-class-april2024,8,1,8,0,8,0,0
/store/p/cks-aug2023-k2uEG,8,1,8,0,8,0,0
/store/p/pe-ai-11-20-23,8,2,4,0.5,9,0,0
/store/p/sip-online-live-apr2024,8,3,2.6666666666666665,30.333333333333332,12,0,0
/blog-1-1/test-course-idea,7,1,7,0,15,0,0
/blog/install-virtualbox,7,6,1.1666666666666667,9.333333333333334,19,0,0
/certification-pyb,7,2,3.5,57,10,0,0
